User_id;Username;Email;Role;Social_media
1;johndoe123;johndoe123@sample.mail;author/copyrighter;@sample_tg
2;sarah_smith;sarah.smith@sample.mail;author;@sample_tg
3;alex_brown_99;alex.brown99@sample.mail;author;@sample_tg
4;mike_jones;mike.jones@sample.mail;author/moderator;@sample_tg
5;emily_williams;emily.williams@sample.mail;author;@sample_tg
6;robert_schmidt;robert.schmidt@sample.mail;author;@sample_tg
7;lucy_green;lucy.green@sample.mail;author/copyrighter;@sample_tg
8;tom_smith2024;tom.smith2024@sample.mail;author/copyrighter;@sample_tg
9;olivia_white;olivia.white@sample.mail;author/moderator;@sample_tg
10;dylan_harris;dylan.harris@sample.mail;author;@sample_tg
11;hannah_martin;hannah.martin@sample.mail;author;@sample_tg
